Course Title,Course Subject,A+,A,Total 4.0,Total A,Total Kids,Percent 4.0,Percent A,ACP,HUM,SSBS,CW,CNW,Credit Hours
NRES201,NRES,0,7,7,14,88,0.07954545454545454,0.1590909090909091,NO,NO,NO,NO,NO,4
NRES219,NRES,5,9,14,37,85,0.16470588235294117,0.43529411764705883,NO,NO,NO,NO,NO,3
NRES348,NRES,29,17,46,65,99,0.46464646464646464,0.6565656565656566,NO,NO,NO,NO,NO,3
NRES419,NRES,0,7,7,10,26,0.2692307692307692,0.38461538461538464,NO,NO,NO,NO,NO,3
NRES426,NRES,8,13,21,24,31,0.6774193548387096,0.7741935483870968,NO,NO,NO,NO,NO,3
NRES454,NRES,6,19,25,49,85,0.29411764705882354,0.5764705882352941,NO,NO,NO,NO,NO,4
NRES472,NRES,6,5,11,15,21,0.5238095238095238,0.7142857142857143,NO,NO,NO,NO,NO,4
NUTR510,NUTR,4,15,19,20,30,0.6333333333333333,0.6666666666666666,NO,NO,NO,NO,NO,1
PHIL100,PHIL,1,12,13,29,94,0.13829787234042554,0.30851063829787234,Yes,Yes,NO,NO,NO,3
PHIL101,PHIL,5,17,22,56,160,0.1375,0.35,NO,Yes,NO,NO,NO,3
PHIL102,PHIL,14,63,77,103,189,0.4074074074074074,0.544973544973545,NO,Yes,NO,NO,NO,3
PHIL103,PHIL,10,8,18,22,31,0.5806451612903226,0.7096774193548387,NO,Yes,NO,NO,NO,3
PHIL105,PHIL,1,4,5,19,66,0.07575757575757576,0.2878787878787879,NO,Yes,NO,NO,NO,3
PHIL202,PHIL,4,1,5,8,27,0.18518518518518517,0.2962962962962963,NO,NO,NO,NO,NO,3
PHIL203,PHIL,1,9,10,21,53,0.18867924528301888,0.39622641509433965,NO,Yes,NO,NO,NO,4
PHIL206,PHIL,0,10,10,16,46,0.21739130434782608,0.34782608695652173,NO,Yes,NO,NO,NO,4
PHIL214,PHIL,0,0,0,6,45,0.0,0.13333333333333333,NO,Yes,NO,NO,NO,3
PHIL230,PHIL,1,5,6,11,21,0.2857142857142857,0.5238095238095238,NO,NO,NO,NO,NO,3
PHIL250,PHIL,0,6,6,10,27,0.2222222222222222,0.37037037037037035,NO,Yes,NO,NO,NO,3
PHIL424,PHIL,0,5,5,11,22,0.22727272727272727,0.5,NO,NO,NO,NO,NO,3
PHIL439,PHIL,2,5,7,12,28,0.25,0.42857142857142855,NO,NO,NO,NO,NO,3
PHYS100,PHYS,40,126,166,206,470,0.35319148936170214,0.43829787234042555,NO,NO,NO,NO,NO,0
PHYS101,PHYS,54,58,112,138,418,0.2679425837320574,0.33014354066985646,NO,NO,NO,NO,NO,5
PHYS102,PHYS,26,29,55,71,198,0.2777777777777778,0.35858585858585856,NO,NO,NO,NO,NO,5
PHYS140,PHYS,12,15,27,32,80,0.3375,0.4,NO,NO,NO,NO,NO,3
PHYS150,PHYS,2,3,5,9,29,0.1724137931034483,0.3103448275862069,NO,NO,NO,NO,NO,3
PHYS211,PHYS,168,133,301,383,841,0.3579072532699168,0.45541022592152197,NO,NO,NO,NO,NO,4
PHYS212,PHYS,160,108,268,352,1097,0.24430264357338194,0.32087511394712853,NO,NO,NO,NO,NO,4
PHYS213,PHYS,35,60,95,127,497,0.19114688128772636,0.25553319919517103,NO,NO,NO,NO,NO,2
PHYS214,PHYS,52,58,110,143,563,0.19538188277087035,0.2539964476021314,NO,NO,NO,NO,NO,2
PHYS225,PHYS,3,9,12,31,165,0.07272727272727272,0.18787878787878787,NO,NO,NO,NO,NO,2
PHYS325,PHYS,8,15,23,43,122,0.1885245901639344,0.3524590163934426,NO,NO,NO,NO,NO,3
PHYS326,PHYS,9,9,18,34,64,0.28125,0.53125,NO,NO,NO,NO,NO,3
PHYS401,PHYS,7,4,11,17,30,0.36666666666666664,0.5666666666666667,NO,NO,NO,NO,NO,3
PHYS402,PHYS,4,9,13,19,23,0.5652173913043478,0.8260869565217391,NO,NO,NO,NO,NO,0
PHYS419,PHYS,0,7,7,14,26,0.2692307692307692,0.5384615384615384,Yes,NO,NO,NO,NO,3
PHYS427,PHYS,0,6,6,19,50,0.12,0.38,NO,NO,NO,NO,NO,4
PHYS435,PHYS,9,16,25,36,94,0.26595744680851063,0.3829787234042553,NO,NO,NO,NO,NO,3
PHYS436,PHYS,4,12,16,29,57,0.2807017543859649,0.5087719298245614,NO,NO,NO,NO,NO,3
PHYS460,PHYS,10,10,20,24,46,0.43478260869565216,0.5217391304347826,NO,NO,NO,NO,NO,4
PHYS475,PHYS,6,9,15,19,40,0.375,0.475,NO,NO,NO,NO,NO,3
PHYS485,PHYS,5,8,13,20,36,0.3611111111111111,0.5555555555555556,NO,NO,NO,NO,NO,3
PHYS486,PHYS,5,7,12,20,83,0.14457831325301204,0.24096385542168675,NO,NO,NO,NO,NO,4
PHYS487,PHYS,1,13,14,24,38,0.3684210526315789,0.631578947368421,NO,NO,NO,NO,NO,4
PHYS499,PHYS,5,7,12,18,21,0.5714285714285714,0.8571428571428571,NO,NO,NO,NO,NO,3
PHYS508,PHYS,4,6,10,15,24,0.4166666666666667,0.625,NO,NO,NO,NO,NO,4
PHYS515,PHYS,3,8,11,23,38,0.2894736842105263,0.6052631578947368,NO,NO,NO,NO,NO,4
PHYS580,PHYS,5,18,23,29,47,0.48936170212765956,0.6170212765957447,NO,NO,NO,NO,NO,4
PHYS596,PHYS,0,36,36,42,45,0.8,0.9333333333333333,NO,NO,NO,NO,NO,1
PLPA200,PLPA,0,59,59,59,110,0.5363636363636364,0.5363636363636364,Yes,NO,NO,NO,NO,3
PLPA407,PLPA,0,13,13,13,28,0.4642857142857143,0.4642857142857143,NO,NO,NO,NO,NO,3
POL115,POL,0,12,12,21,26,0.46153846153846156,0.8076923076923077,NO,NO,NO,NO,NO,3
PS100,PS,30,47,77,97,153,0.5032679738562091,0.6339869281045751,NO,NO,Yes,NO,NO,3
PS101,PS,0,38,38,58,180,0.2111111111111111,0.32222222222222224,NO,NO,Yes,NO,NO,3
PS199,PS,0,2,2,9,23,0.08695652173913043,0.391304347826087,NO,NO,NO,NO,NO,0
PS220,PS,1,17,18,21,102,0.17647058823529413,0.20588235294117646,NO,NO,NO,NO,NO,3
PS225,PS,0,3,3,10,63,0.047619047619047616,0.15873015873015872,NO,NO,Yes,NO,NO,3
PS230,PS,3,8,11,16,21,0.5238095238095238,0.7619047619047619,NO,NO,NO,NO,NO,3
PS240,PS,7,26,33,64,88,0.375,0.7272727272727273,NO,NO,Yes,NO,NO,3
PS241,PS,1,5,6,10,22,0.2727272727272727,0.45454545454545453,NO,NO,Yes,NO,Yes,3
PS280,PS,4,30,34,51,155,0.21935483870967742,0.32903225806451614,NO,NO,Yes,NO,NO,3
PS281,PS,3,3,6,14,24,0.25,0.5833333333333334,Yes,NO,Yes,NO,NO,3
PS283,PS,1,6,7,15,25,0.28,0.6,NO,NO,NO,NO,NO,3
PS300,PS,14,31,45,50,68,0.6617647058823529,0.7352941176470589,NO,NO,NO,NO,NO,3
PS301,PS,5,9,14,24,60,0.23333333333333334,0.4,NO,NO,NO,NO,NO,3
