CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
41758,AAS,100,Intro Asian American Studies,AD1,DIS,120158,"Peralta, Christine N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47100,AAS,100,Intro Asian American Studies,AD2,DIS,120158,"Peralta, Christine N",0,19,1,2,1,1,0,0,0,0,1,0,0,0,3.72
47102,AAS,100,Intro Asian American Studies,AD3,DIS,120158,"Thomas, Merin A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51248,AAS,100,Intro Asian American Studies,AD4,DIS,120158,"Thomas, Merin A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51249,AAS,100,Intro Asian American Studies,AD5,DIS,120158,"Lee, Sang S",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51932,AAS,100,Intro Asian American Studies,AD6,DIS,120158,"Lee, Sang S",1,13,5,1,3,3,1,0,0,0,0,0,1,1,3.47
56496,AAS,100,Intro Asian American Studies,B,LCD,120158,"Shinozuka, Jeannie N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55765,AAS,215,US Citizenship Comparatively,A,LCD,120158,"Cacho, Lisa M",1,3,5,4,1,6,1,3,2,1,1,1,0,0,2.81
59944,AAS,291,Hinduism in the United States,RP,LCD,120158,"Pandharipande, R V",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58268,AAS,315,"War, Memory, and Cinema",A,LCD,120158,"Nguyen, Mimi T",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51335,AAS,390,"Prison, Race, and Terror",NP,LCD,120158,"Paik, Angela N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31301,AAS,490,Critical Ethnic Studies,JRU,LCD,120158,"Rana, Junaid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47822,AAS,490,Race and the Environment,JSG,LCD,120158,"Shinozuka, Jeannie N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31263,ABE,100,Intro Agric & Biological Engrg,B,LEC,120158,"Green, Angela R",0,27,0,0,11,0,0,2,0,0,0,0,0,0,3.63
55376,ABE,199,Water in the Global Environ,CHP,LCD,120158,"Kalita, Prasanta K",2,18,0,1,0,0,0,0,0,0,0,0,0,0,3.97
58927,ABE,223,ABE Principles: Machine Syst,AL1,LEC,120158,"Grift, Tony E",1,29,9,10,7,0,4,1,0,1,0,1,0,0,3.5
58931,ABE,224,ABE Principles: Soil & Water,AL1,LEC,120158,"Kalita, Prasanta K",19,30,0,4,0,0,1,2,0,0,0,0,3,0,3.66
57598,ABE,341,Transport Processes in ABE,MGD,LEC,120158,"Rausch, Kent D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29651,ABE,361,Off-Road Machine Design,AL1,LEC,120158,"Hansen, Alan C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64779,ABE,430,Project Management,CL1,LEC,120158,"Davidson, Paul C",0,119,9,2,1,0,0,0,0,0,0,0,1,0,3.93
29655,ABE,459,Drainage and Water Management,A3,LEC,120158,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39805,ABE,459,Drainage and Water Management,A4,LEC,120158,"Cooke, Richard A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56114,ABE,463,Electrohydraulic Systems,TEG,LEC,120158,"Grift, Tony E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31280,ABE,466,Engineering Off-Road Vehicles,AL1,LEC,120158,"Hansen, Alan C",2,11,11,2,0,2,0,1,1,0,0,0,1,0,3.49
29662,ABE,476,Indoor Air Quality Engineering,AL1,LEC,120158,"Zhang, Yuanhui",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57478,ABE,488,Bioprocessing Biomass for Fuel,VS,LEC,120158,"Singh, Vijay",6,9,5,4,3,0,2,0,0,0,0,0,0,0,3.63
65024,ABE,498,Eng Tech for Precision Ag,LT3,LEC,120158,"Tian, Lei",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64787,ABE,498,Environmental Soil Physics,ML1,LEC,120158,"Chu, Ma Librada C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65025,ABE,498,GIS Applications in Ag,RB3,LEC,120158,"Bhattarai, Rabin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29670,ACCY,200,Fundamentals of Accounting,OL,ONL,120158,"Silhan, Peter A",5,81,65,44,37,25,28,11,14,7,3,1,0,0,3.21
36478,ACCY,201,Accounting and Accountancy I,AD1,DIS,120158,"Harris, Matthew C",10,8,4,1,0,2,1,2,1,0,1,0,0,0,3.48
36482,ACCY,201,Accounting and Accountancy I,AD3,DIS,120158,"Harris, Matthew C",0,6,4,5,2,5,4,1,1,0,0,0,1,1,3.02
36484,ACCY,201,Accounting and Accountancy I,AD4,DIS,120158,"Cantieri, Kristen E",8,3,4,3,4,3,2,2,1,0,1,0,1,0,3.13
36486,ACCY,201,Accounting and Accountancy I,AD6,DIS,120158,"Dieckman, Carissa M",2,6,3,2,2,4,3,5,0,0,0,0,3,0,2.78
36487,ACCY,201,Accounting and Accountancy I,AD7,DIS,120158,"Ditman, Stephen M",5,5,5,4,2,1,3,1,2,0,0,0,1,0,3.2
36489,ACCY,201,Accounting and Accountancy I,AD8,DIS,120158,"Cantieri, Kristen E",4,6,3,5,2,5,1,0,0,0,1,0,0,0,3.35
36494,ACCY,201,Accounting and Accountancy I,ADA,DIS,120158,"Dieckman, Carissa M",3,5,4,2,4,8,4,0,2,0,0,0,1,0,3.01
36496,ACCY,201,Accounting and Accountancy I,ADB,DIS,120158,"Ditman, Stephen M",2,7,4,3,7,2,0,2,0,0,0,0,1,0,3.25
36499,ACCY,201,Accounting and Accountancy I,ADC,DIS,120158,"Nagle, Amy E",3,1,5,3,4,6,3,1,2,0,1,0,2,0,2.76
36502,ACCY,201,Accounting and Accountancy I,ADD,DIS,120158,"Schwarzhaupt, Michael C",3,6,2,4,4,4,2,0,2,0,1,0,3,0,2.85
36506,ACCY,201,Accounting and Accountancy I,ADE,DIS,120158,"Rallo, Tyler M",4,5,2,2,2,2,2,4,2,0,0,0,0,3,3.09
36509,ACCY,201,Accounting and Accountancy I,ADF,DIS,120158,"Wojnarowski, Michelle L",2,2,6,4,3,4,2,3,2,0,0,0,2,1,2.83
36516,ACCY,201,Accounting and Accountancy I,ADH,DIS,120158,"Nagle, Amy E",7,5,4,4,6,2,1,1,1,0,1,0,0,0,3.32
36522,ACCY,201,Accounting and Accountancy I,ADI,DIS,120158,"Rallo, Tyler M",1,3,5,7,3,5,0,3,0,0,0,0,1,1,3.07
36526,ACCY,201,Accounting and Accountancy I,ADJ,DIS,120158,"Shannon, Ryan P",5,4,1,3,1,7,1,0,3,0,2,0,0,1,2.99
36536,ACCY,201,Accounting and Accountancy I,ADL,DIS,120158,"Schwarzhaupt, Michael C",1,7,4,3,2,6,2,2,2,0,1,0,1,0,2.96
36538,ACCY,201,Accounting and Accountancy I,ADM,DIS,120158,"Shannon, Ryan P",4,5,5,4,5,6,0,3,0,0,0,0,2,0,3.08
36543,ACCY,201,Accounting and Accountancy I,ADN,DIS,120158,"Wojnarowski, Michelle L",4,5,1,2,2,8,1,1,1,0,1,0,1,0,2.99
36552,ACCY,202,Accounting and Accountancy II,AD1,DIS,120158,"Shanahan, Michael J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36556,ACCY,202,Accounting and Accountancy II,AD2,DIS,120158,"Shanahan, Michael J",4,11,2,10,7,0,5,1,0,0,0,0,0,0,3.38
36560,ACCY,202,Accounting and Accountancy II,AD3,DIS,120158,"Grembowski, Tessa V",7,8,1,5,6,1,1,4,1,0,0,0,3,0,3.05
36565,ACCY,202,Accounting and Accountancy II,AD4,DIS,120158,"Grembowski, Tessa V",12,16,2,4,4,0,0,0,0,0,0,0,0,2,3.81
36568,ACCY,202,Accounting and Accountancy II,AD5,DIS,120158,"Stieren, Brandon K",6,7,0,9,7,2,1,7,0,0,0,0,0,0,3.2
36574,ACCY,202,Accounting and Accountancy II,AD6,DIS,120158,"Stieren, Brandon K",5,11,2,9,8,3,2,3,1,0,1,0,0,0,3.26
36577,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120158,"Finnegan, Thomas",1,8,10,8,4,5,1,1,0,0,0,0,0,0,3.4
36581,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120158,"Finnegan, Thomas",1,4,6,12,10,5,1,0,0,0,0,0,0,0,3.27
36584,ACCY,301,Atg Measurement & Disclosure,AE3,LCD,120158,"Finnegan, Thomas",0,2,3,16,9,5,1,2,0,0,0,0,0,0,3.13
36587,ACCY,301,Atg Measurement & Disclosure,AE4,LCD,120158,"Wang, Zhiguang",1,7,8,6,9,2,1,0,0,0,0,0,0,0,3.41
36590,ACCY,301,Atg Measurement & Disclosure,AE5,LCD,120158,"Wang, Zhiguang",2,8,4,9,5,6,0,1,0,0,0,0,0,0,3.36
36592,ACCY,301,Atg Measurement & Disclosure,AE6,LCD,120158,"Sougiannis, Theodore",1,1,9,6,7,6,4,0,0,0,0,0,0,0,3.16
36598,ACCY,301,Atg Measurement & Disclosure,AE8,LCD,120158,"Wang, Zhiguang",1,5,5,6,6,2,1,2,2,0,0,0,1,0,3.08
49255,ACCY,301,Atg Measurement & Disclosure,AEB,LCD,120158,"Sougiannis, Theodore",0,3,6,11,11,6,1,1,0,0,0,0,0,0,3.18
36610,ACCY,302,Decision Making for Atg,AE1,LCD,120158,"Autrey, Romana L",1,7,6,6,11,3,1,2,0,0,0,0,1,0,3.19
36614,ACCY,302,Decision Making for Atg,AE2,LCD,120158,"Autrey, Romana L",0,9,9,7,5,2,2,1,0,0,0,0,0,1,3.41
36618,ACCY,302,Decision Making for Atg,AE3,LCD,120158,"Garza, Brent A",1,5,5,10,7,1,2,0,0,0,0,0,0,1,3.35
36680,ACCY,302,Decision Making for Atg,AE5,LCD,120158,"Autrey, Romana L",0,8,9,5,7,6,1,2,0,0,0,0,0,0,3.29
36688,ACCY,302,Decision Making for Atg,AE8,LCD,120158,"Chen, Xiaoling",0,4,8,8,9,5,1,0,0,0,0,0,0,1,3.28
49257,ACCY,302,Decision Making for Atg,AE9,LCD,120158,"Chen, Xiaoling",0,5,9,10,9,5,0,0,0,0,0,0,0,0,3.33
49258,ACCY,302,Decision Making for Atg,AEA,LCD,120158,"Chen, Xiaoling",2,3,6,10,12,6,0,0,0,0,0,0,0,0,3.27
36692,ACCY,303,Atg Institutions and Reg,AE1,LCD,120158,"Li, Wei",1,6,9,14,4,1,1,1,0,1,1,2,1,1,3.1
36700,ACCY,303,Atg Institutions and Reg,AE2,LCD,120158,"Li, Wei",2,11,14,11,1,0,1,2,0,0,0,1,0,0,3.49
36701,ACCY,303,Atg Institutions and Reg,AE3,LCD,120158,"Brown, Timothy J",1,14,7,7,10,0,3,2,0,0,0,0,0,0,3.41
36713,ACCY,303,Atg Institutions and Reg,AE4,LCD,120158,"Brown, Timothy J",3,13,8,3,11,3,2,1,0,0,0,0,0,0,3.43
49259,ACCY,303,Atg Institutions and Reg,AE5,LCD,120158,"Brown, Timothy J",3,5,11,5,7,3,4,4,0,0,1,0,0,0,3.17
31317,ACCY,304,Accounting Control Systems,AE1,LCD,120158,"Koo, Seung Hyun",1,9,3,2,5,2,0,2,0,0,1,1,0,0,3.22
31318,ACCY,304,Accounting Control Systems,AE2,LCD,120158,"Koo, Seung Hyun",1,11,2,8,4,1,1,1,0,1,0,1,0,0,3.32
31319,ACCY,304,Accounting Control Systems,AE3,LCD,120158,"Koo, Seung Hyun",1,4,7,12,3,2,1,0,2,0,0,0,0,1,3.3
31320,ACCY,304,Accounting Control Systems,AE4,LCD,120158,"Wang, Wei",0,4,10,10,5,0,1,0,0,1,0,0,1,0,3.27
49280,ACCY,304,Accounting Control Systems,AE5,LCD,120158,"Wang, Wei",0,9,8,8,4,2,1,1,0,0,1,0,0,0,3.37
62036,ACCY,304,Accounting Control Systems,AE6,LCD,120158,"Wang, Wei",0,3,9,10,9,1,1,1,0,0,0,0,0,0,3.3
65131,ACCY,304,Accounting Control Systems,AE8,LCD,120158,"Estep, Cassandra R",0,4,8,12,6,4,0,0,0,0,0,0,0,0,3.35
31321,ACCY,312,Principles of Taxation,A,LCD,120158,"Henderson, Belinda C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31324,ACCY,312,Principles of Taxation,B,LCD,120158,"Bauer, Andrew M",1,9,7,7,7,4,1,0,0,0,2,0,0,0,3.29
31330,ACCY,312,Principles of Taxation,C,LCD,120158,"Bauer, Andrew M",1,9,8,8,5,3,1,3,1,0,0,0,0,0,3.31
31332,ACCY,312,Principles of Taxation,D,LCD,120158,"Snyder, R William",2,10,6,8,4,0,2,2,1,0,0,0,0,0,3.4
31333,ACCY,312,Principles of Taxation,E,LCD,120158,"Donohoe, Michael P",1,2,4,11,5,1,1,1,0,2,0,1,0,0,3.06
45719,ACCY,312,Principles of Taxation,F,LCD,120158,"Donohoe, Michael P",3,7,11,7,2,1,0,1,1,0,0,0,1,0,3.41
45934,ACCY,312,Principles of Taxation,G,LCD,120158,"Donohoe, Michael P",2,10,6,14,3,0,1,0,1,1,0,1,0,0,3.38
61229,ACCY,398,Practical Problems in Atg,A,ONL,120158,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64742,ACCY,398,Practical Problems in Atg,B,ONL,120158,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64739,ACCY,398,Practical Problems in Atg,C,ONL,120158,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64732,ACCY,398,Practical Problems in Atg,D,ONL,120158,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36758,ACCY,405,Assurance and Attestation,AE2,LCD,120158,"Thompson, Anne M",0,2,8,8,6,4,2,0,0,0,0,0,0,0,3.24
36764,ACCY,405,Assurance and Attestation,AE3,LCD,120158,"Thompson, Anne M",0,2,13,4,7,1,0,0,0,0,0,0,0,0,3.43
36768,ACCY,405,Assurance and Attestation,AE4,LCD,120158,"Bauer, Timothy D",0,3,9,10,6,1,0,0,0,0,0,0,0,0,3.41
36771,ACCY,405,Assurance and Attestation,AE5,LCD,120158,"Bauer, Timothy D",1,3,6,10,3,3,2,1,0,0,0,0,0,0,3.28
54162,ACCY,405,Assurance and Attestation,AE7,LCD,120158,"Thompson, Anne M",0,1,10,4,4,2,2,0,1,0,0,0,0,0,3.24
61231,ACCY,410,Advanced Financial Reporting,B3,LCD,120158,"Steward, Cynthia G",7,1,5,6,2,6,1,3,0,1,0,0,0,0,3.19
62729,ACCY,410,Advanced Financial Reporting,C3,LCD,120158,"Steward, Cynthia G",3,3,2,3,4,7,2,1,0,0,0,0,0,0,3.15
62730,ACCY,410,Advanced Financial Reporting,D3,LCD,120158,"Kustanovich, Michael",1,9,10,5,4,5,3,0,0,0,0,0,0,0,3.41
62731,ACCY,410,Advanced Financial Reporting,E3,LCD,120158,"Kustanovich, Michael",0,10,7,4,7,4,1,1,0,0,1,0,0,0,3.29
62732,ACCY,410,Advanced Financial Reporting,F3,LCD,120158,"Kustanovich, Michael",1,9,4,4,4,5,0,1,0,0,1,0,0,0,3.33
29676,ACCY,415,Auditing Stds and Practice,AE1,LCD,120158,"Ciconte, William",0,6,4,6,4,6,3,1,0,0,0,0,0,1,3.19
64648,ACCY,415,Auditing Stds and Practice,AE2,LCD,120158,"Ciconte, William",0,4,8,5,2,2,1,1,0,0,0,0,0,0,3.38
65021,ACCY,415,Auditing Stds and Practice,AE3,LCD,120158,"Ciconte, William",0,4,6,11,2,8,1,2,0,0,0,0,0,0,3.19
49130,ACCY,451,Advanced Income Tax Problems,A3,LCD,120158,"Bodtke, James E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54569,ACCY,451,Advanced Income Tax Problems,B3,LCD,120158,"Bodtke, James E",0,4,7,4,7,1,0,0,0,0,0,0,0,0,3.43
63119,ACCY,451,Advanced Income Tax Problems,D3,LCD,120158,"Bodtke, James E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49761,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",ADV,LCD,120158,"Davis, Gregory L",0,5,12,22,17,3,2,1,0,0,0,0,0,0,3.27
58446,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",GRD,LCD,120158,"Sandretto, Michael J",4,31,30,2,0,0,0,0,0,0,0,0,0,0,3.83
62025,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",MSB,LCD,120158,"Davis, Gregory L",0,10,11,5,4,3,2,1,0,0,0,0,0,0,3.44
49763,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",MSF,LCD,120158,"Davis, Gregory L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29680,ACCY,502,Accounting Analysis II,A,LCD,120158,"Schwartz, Rachel",4,16,6,3,4,0,0,0,0,0,0,0,0,0,3.76
31334,ACCY,502,Accounting Analysis II,B,LCD,120158,"Schwartz, Rachel",5,14,5,4,4,0,0,0,0,0,0,0,0,0,3.74
61232,ACCY,502,Accounting Analysis II,C,LCD,120158,"Schwartz, Rachel",2,11,4,11,6,1,2,0,0,0,1,0,0,0,3.41
31335,ACCY,503,Managerial Accounting,A,LCD,120158,"Fan, Qintao",3,8,9,2,7,4,0,0,0,0,0,0,0,0,3.5
39540,ACCY,503,Managerial Accounting,B,LCD,120158,"Fan, Qintao",1,11,11,7,1,3,0,0,0,0,0,0,0,0,3.61
56299,ACCY,504,Auditing,A,LCD,120158,"Chatterton, Angel",0,9,17,6,2,3,0,0,0,0,0,0,0,0,3.58
59162,ACCY,504,Auditing,B,LCD,120158,"Chatterton, Angel",0,9,12,9,8,1,0,1,0,0,0,0,0,0,3.47
64875,ACCY,504,Auditing,C,LCD,120158,"Chatterton, Angel",0,3,8,8,9,3,1,1,0,0,0,0,0,0,3.25
31339,ACCY,505,Federal Taxation,A,LCD,120158,"Cox, Sharon P",1,12,13,11,3,0,0,0,0,0,0,0,0,0,3.63
31341,ACCY,505,Federal Taxation,B,LCD,120158,"Cox, Sharon P",3,13,13,9,2,0,0,0,0,0,0,0,0,0,3.69
54993,ACCY,505,Federal Taxation,C,LCD,120158,"Cox, Sharon P",2,6,11,9,6,2,0,0,0,0,1,0,0,0,3.42
57605,ACCY,505,Federal Taxation,D,LCD,120158,"Cox, Sharon P",1,6,10,6,5,2,0,0,0,0,0,0,0,0,3.5
49275,ACCY,510,Financial Reporting Standards,D,LCD,120158,"Hepp, John",2,16,9,4,5,3,0,0,0,0,0,0,0,0,3.62
61974,ACCY,510,Financial Reporting Standards,E,LCD,120158,"Steward, Cynthia G",1,10,18,5,3,0,1,0,0,0,0,0,0,0,3.63
62037,ACCY,510,Financial Reporting Standards,F,LCD,120158,"Steward, Cynthia G",0,6,22,8,5,0,0,0,0,0,0,0,0,0,3.57
63121,ACCY,510,Financial Reporting Standards,G,LCD,120158,"Hepp, John",6,17,7,3,4,1,0,0,0,0,0,0,0,0,3.75
31344,ACCY,511,Risk Measurement/Reporting I,A,LCD,120158,"Abdel-Khalik, Ahmed R",0,5,11,12,4,2,0,0,0,0,0,0,0,0,3.46
49276,ACCY,511,Risk Measurement/Reporting I,E,LCD,120158,"Abdel-Khalik, Ahmed R",0,3,9,8,4,0,0,0,0,0,0,0,0,0,3.49
51813,ACCY,512,Risk Measurement/Reporting II,A,LCD,120158,"Wu, Martin G",4,13,10,11,3,3,0,0,0,0,0,0,0,0,3.6
51814,ACCY,512,Risk Measurement/Reporting II,B,LCD,120158,"Wu, Martin G",3,18,6,5,6,5,0,1,0,0,0,0,0,0,3.55
51815,ACCY,512,Risk Measurement/Reporting II,C,LCD,120158,"Wu, Martin G",8,10,5,8,4,6,0,0,0,0,0,0,0,0,3.54
51816,ACCY,512,Risk Measurement/Reporting II,D,LCD,120158,"Hecht, Gary W",0,11,12,10,6,3,0,1,0,0,0,0,0,0,3.47
51817,ACCY,512,Risk Measurement/Reporting II,E,LCD,120158,"Wu, Martin G",9,19,3,7,6,0,0,0,0,0,0,0,0,0,3.73
51818,ACCY,512,Risk Measurement/Reporting II,F,LCD,120158,"Hecht, Gary W",0,15,11,12,5,2,0,0,0,0,0,0,0,0,3.57
46977,ACCY,515,Auditing & Assurance Standards,A,LCD,120158,"Hobson, Jessen L",0,18,5,6,4,1,0,0,0,0,0,0,0,0,3.68
46978,ACCY,515,Auditing & Assurance Standards,B,LCD,120158,"Hobson, Jessen L",0,7,9,12,7,4,0,0,0,0,0,0,0,0,3.4
54477,ACCY,515,Auditing & Assurance Standards,C,LCD,120158,"Hobson, Jessen L",0,6,9,13,6,2,0,0,1,0,0,0,0,0,3.39
65023,ACCY,515,Auditing & Assurance Standards,D,LCD,120158,"Chatterton, Angel",0,0,2,6,9,3,1,0,0,0,0,0,0,0,3.08
31373,ACCY,517,Financial Statement Analysis,A,LCD,120158,"Ibrahim, Adel Nematallah",0,9,12,7,6,2,1,1,0,0,0,0,0,0,3.45
31377,ACCY,517,Financial Statement Analysis,B,LCD,120158,"Ibrahim, Adel Nematallah",0,10,5,8,6,9,0,1,0,0,0,0,0,1,3.31
39543,ACCY,517,Financial Statement Analysis,C,LCD,120158,"Ibrahim, Adel Nematallah",0,11,5,11,4,4,2,1,0,0,0,0,0,0,3.38
31381,ACCY,551,Corporate Income Taxation,A,LCD,120158,"Sternburg, Thomas",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31382,ACCY,551,Corporate Income Taxation,B,LCD,120158,"Sternburg, Thomas",0,7,3,8,1,2,0,0,0,0,0,0,0,0,3.52
44169,ACCY,552,Partnership Income Taxation,CHI,LCD,120158,"Selin, Dmitry",5,4,4,4,5,2,0,0,0,0,0,0,0,0,3.51
60931,ACCY,554,International Taxation,CHI,LCD,120158,"Engle, Howard S",3,5,4,5,7,0,0,0,0,0,0,0,0,0,3.51
54570,ACCY,556,Tax Research,A,LCD,120158,"Chorvat, Elizabeth A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31384,ACCY,556,Tax Research,B,LCD,120158,"Chorvat, Elizabeth A",0,4,6,9,2,0,0,0,0,0,0,0,0,0,3.52
60932,ACCY,558,Taxation of Closely-Held Bus.,CHI,LCD,120158,"Whitlock, Brian T",3,14,4,2,1,0,0,0,0,0,0,0,0,0,3.85
47788,ACCY,585,Constructs in Atg Research,A,LCD,120158,"Abdel-Khalik, Ahmed R",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29682,ACCY,592,Intro to ACCY Research,A,LCD,120158,"Hecht, Gary W",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36850,ACCY,593,Special Research Problems,AUT,LCD,120158,"Pittman, Jeffrey",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54478,ACCY,593,Financial Statement Fraud,FR,LCD,120158,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36844,ACCY,593,Financial Statement Fraud,FR2,LCD,120158,"Nekrasz, Frank",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36724,ACE,100,Agr Cons and Resource Econ,AD1,DIS,120158,"Gundersen, Lisa C",0,2,0,3,6,3,5,4,0,1,0,2,0,0,2.55
36726,ACE,100,Agr Cons and Resource Econ,AD2,DIS,120158,"Gundersen, Lisa C",0,4,2,2,8,2,3,3,1,1,0,1,1,0,2.71
36727,ACE,100,Agr Cons and Resource Econ,AD3,DIS,120158,"Gundersen, Lisa C",0,0,2,1,5,0,5,3,0,2,3,1,4,0,1.91
36730,ACE,100,Agr Cons and Resource Econ,AD4,DIS,120158,"Gundersen, Lisa C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36732,ACE,100,Agr Cons and Resource Econ,AD5,DIS,120158,"Gundersen, Lisa C",3,3,2,1,1,2,1,2,2,2,2,1,1,0,2.52
36734,ACE,100,Agr Cons and Resource Econ,AD6,DIS,120158,"Gundersen, Lisa C",1,1,5,1,6,5,1,2,2,1,1,2,1,0,2.56
36735,ACE,100,Agr Cons and Resource Econ,AD7,DIS,120158,"Gundersen, Lisa C",0,1,8,3,5,2,2,1,2,1,1,1,0,0,2.84
56843,ACE,100,Agr Cons and Resource Econ,AD8,DIS,120158,"Gundersen, Lisa C",0,1,1,2,5,3,2,3,1,0,1,2,0,1,2.48
36745,ACE,161,Microcomputer Applications,A,LBD,120158,"Rogalla, Valerie",0,19,0,0,2,0,0,1,0,0,0,0,1,0,3.65
36736,ACE,161,Microcomputer Applications,C1,LBD,120158,"Lo, Alexander C",0,14,0,0,7,0,0,1,0,0,1,0,0,1,3.48
36747,ACE,161,Microcomputer Applications,C2,LBD,120158,"Rogalla, Valerie",0,13,0,0,8,0,0,0,0,0,1,0,0,0,3.5
36749,ACE,161,Microcomputer Applications,E,LBD,120158,"Lo, Alexander C",0,19,0,0,4,0,0,1,0,0,0,0,1,0,3.6
36738,ACE,161,Microcomputer Applications,F,LBD,120158,"Lo, Alexander C",0,21,0,0,3,0,0,0,0,0,0,0,0,0,3.88
36750,ACE,161,Microcomputer Applications,G,LBD,120158,"Lo, Alexander C",0,18,0,0,2,0,0,2,0,0,0,0,2,0,3.42
36739,ACE,161,Microcomputer Applications,L1,LBD,120158,"Lo, Alexander C",0,17,0,0,5,0,0,1,0,0,0,0,0,0,3.7
36751,ACE,161,Microcomputer Applications,L2,ONL,120158,"Rogalla, Valerie",0,35,0,0,8,0,0,2,0,0,0,0,0,1,3.73
